Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,InitialisationMethod,MutateChangePopulation,MaxMutationRate,AverageFitness
46,-3.4712,3.4712,306,10,0.4324,sobol,0.8144,0.4321,0.1325
47,-1.4984,1.4984,109,28,0.1645,lhs,0.1392,0.3898,0.2326
48,-4.5601,4.5601,258,8,0.4336,lhs,0.2728,0.6575,0.2776
49,-0.4641,0.4641,352,32,0.3315,sobol,0.3656,0.4826,0.1337
50,-4.9647,4.9647,102,25,0.2327,sobol,0.7071,0.5086,0.2032
51,-3.0603,3.0603,338,31,0.5393,lhs,0.6266,0.6672,0.1869
52,-3.679,3.679,173,32,0.2367,random,0.3624,0.291,0.2298
53,-0.1885,0.1885,286,23,0.6713,random,0.7209,0.6697,0.1592
54,-2.7883,2.7883,110,14,0.4523,random,0.3773,0.2998,0.2118
55,-3.1206,3.1206,184,6,0.3841,lhs,0.7355,0.5424,0.1857
56,-1.7397,1.7397,191,30,0.3897,sobol,0.4582,0.6423,0.1643
57,-0.2912,0.2912,117,15,0.2319,lhs,0.7098,0.4645,0.1465
58,-0.432,0.432,362,31,0.5347,sobol,0.8091,0.6302,0.1641
59,-2.813,2.813,347,21,0.2896,random,0.5332,0.3697,0.1561
60,-4.3491,4.3491,158,3,0.1866,lhs,0.6176,0.4568,0.2412
61,-3.1675,3.1675,206,19,0.5707,sobol,0.32,0.5393,0.171
62,-2.9472,2.9472,166,16,0.6886,random,0.8423,0.5535,0.1694
63,-3.3054,3.3054,30,9,0.1975,sobol,0.7242,0.4424,0.2123
64,-1.1277,1.1277,290,3,0.2557,lhs,0.4847,0.545,0.1475
65,-0.8822,0.8822,300,24,0.6952,lhs,0.7205,0.2136,0.094
66,-1.7639,1.7639,150,33,0.4833,random,0.6687,0.2263,0.1662
67,-3.7137,3.7137,197,6,0.5037,sobol,0.644,0.5369,0.1313
68,-1.768,1.768,289,17,0.5881,lhs,0.4366,0.3712,0.2105
69,-3.7317,3.7317,285,18,0.1368,lhs,0.1272,0.2063,0.3762
70,-2.9158,2.9158,165,15,0.3777,sobol,0.4037,0.4103,0.1364
71,-2.3964,2.3964,231,19,0.1988,sobol,0.4324,0.4236,0.1083
72,-2.0641,2.0641,150,13,0.1001,lhs,0.1859,0.3882,0.2275
73,-0.9286,0.9286,186,7,0.2282,random,0.6384,0.4873,0.1537
74,-0.3433,0.3433,338,22,0.2464,lhs,0.3902,0.518,0.1232
75,-3.6045,3.6045,202,33,0.6748,lhs,0.3784,0.3648,0.273
